#SampleID	Site	Location	Flower	Batch
543-456	RDO 2	RDO	Centaurea diffusa	2
544-457	RDO 2	RDO	Machaeranthera canescens	2
545-458	RDO 2	RDO	Machaeranthera canescens	2
546-459	RDO 3	RDO	Machaeranthera canescens	2
547-460	RDO 3	RDO	Machaeranthera canescens	2
548-461	RDO 3	RDO	Machaeranthera canescens	2
549-462	RDO 3	RDO	Machaeranthera canescens	2
550-463	RDO 3	RDO	Machaeranthera canescens	2
551-464	RDO 3	RDO	Centaurea diffusa	2
552-465	RDO 3	RDO	Centaurea solstitialis	2
553-466	RDO 3	RDO	Machaeranthera canescens	2
554-467	RDO 4	RDO	Centaurea solstitialis	2
555-468	RDO 4	RDO	Centaurea diffusa	2
556-469	RDO 4	RDO	Centaurea solstitialis	2
557-470	RDO 4	RDO	Centaurea diffusa	2
558-471	RDO 4	RDO	Machaeranthera canescens	2
559-472	RDO 4	RDO	Centaurea solstitialis	2
560-473	RDO 4	RDO	Centaurea diffusa	2
561-474	RDO 5	RDO	Centaurea solstitialis	2
562-475	RDO 5	RDO	Centaurea solstitialis	2
563-476	RDO 5	RDO	Centaurea solstitialis	2
564-477	RDO 5	RDO	Centaurea solstitialis	2
565-478	RDO 5	RDO	Centaurea solstitialis	2
566-567-479	RDO 5	RDO	Centaurea solstitialis	2
568-480	RDO 6	RDO	Machaeranthera canescens	2
569-481	RDO 6	RDO	Machaeranthera canescens	2
570-482	RDO 6	RDO	no plant identified	2
571-483	RDO 6	RDO	Machaeranthera canescens	2
572-484	RDO 6	RDO	Machaeranthera canescens	2
573-485	RDO 6	RDO	Machaeranthera canescens	2
574-486	RDO 6	RDO	Machaeranthera canescens	2
575-487	RDO 6	RDO	Machaeranthera canescens	2
577-578-593-489	RDO 7	RDO	Machaeranthera canescens	2
580-491	RDO 7	RDO	Machaeranthera canescens	2
581-492	RDO 7	RDO	Machaeranthera canescens	2
582-493	RDO 7	RDO	Machaeranthera canescens	2
583-494	RDO 8	RDO	Centaurea diffusa	2
584-495	RDO 8	RDO	Centaurea diffusa	2
585-496	RDO 8	RDO	Centaurea diffusa	2
586-497	RDO 8	RDO	Centaurea diffusa	2
587-498	RDO 8	RDO	Centaurea diffusa	2
Blank_VI	Blank	Blank	Blank	2
PCR_Neg_7	PCR_Neg	PCR_Neg	PCR_Neg	2
PCR_Neg_8	PCR_Neg	PCR_Neg	PCR_Neg	2
Plate-7-Blank	Plate-Blank	Plate-Blank	Plate-Blank	2
